"LoincNumber","ConsumerName"
"93418-2","(8;8)(q13;q21)(HEY1,NCOA2) fusion transcript analysis, Tissue"
"17271-8","1,1,1-Trichloroethane, Blood"
"38624-3","1,1,2-Trichloroethane, Air"
"38334-9","1,1,2-Trichloroethane, Water"
"38699-5","1,1-Dichloroethane, Air"
"38735-7","1,1-Dichloroethylene, Air"
"38292-9","1,1-Dichloroethylene, Water"
"74622-2","1,1-Dimethoxy-(9Z)octadecene (DMA 18:1), Fibroblast"
"74623-0","1,1-Dimethoxy-(9Z)octadecene (DMA 18:1), Red blood cells"
"74620-6","1,1-Dimethoxy-(9Z)octadecene (DMA 18:1)/Oleate (C18:1w9), Fibroblast"
"74621-4","1,1-Dimethoxy-(9Z)octadecene (DMA 18:1)/Oleate (C18:1w9), Red blood cells"
"74626-3","1,1-Dimethoxyhexadecane (DMA 16:0), Fibroblast"
"74627-1","1,1-Dimethoxyhexadecane (DMA 16:0), Red blood cells"
"74624-8","1,1-Dimethoxyhexadecane (DMA 16:0)/palmitate (C16:0), Fibroblast"
"74625-5","1,1-Dimethoxyhexadecane (DMA 16:0)/palmitate (C16:0), Red blood cells"
"74618-0","1,1-Dimethoxyoctadecane (DMA 18:0), Fibroblast"
"74619-8","1,1-Dimethoxyoctadecane (DMA 18:0), Red blood cells"
"74616-4","1,1-Dimethoxyoctadecane (DMA 18:0)/Octadecanoate (C18:0), Fibroblast"
"74617-2","1,1-Dimethoxyoctadecane (DMA 18:0)/Octadecanoate (C18:0), Red blood cells"
"38688-8","1,1-Dimethylhydrazine, Air"
"80628-1","1,1'-Sulfonylbis-2-Methylthioethane, Urine"
"80629-9","1,2,2-Trimethylpropyl methylphosphonate, Blood"
"54099-7","1,2,2-Trimethylpropyl methylphosphonate, Urine"
"28050-3","1,2,3-Trichlorobenzene, Blood"
"38623-5","1,2,4-Trichlorobenzene, Air"
"28049-5","1,2,4-Trichlorobenzene, Blood"
"38332-3","1,2,4-Trichlorobenzene, Water"
"87549-2","1,25-dihydroxyvitamin D and 1,25-dihydroxyvitamin D2 and 1,25-dihydroxyvitamin D3 Panel, Blood"
"62290-2","1,25-dihydroxyvitamin D, Blood"
"62291-0","1,25-dihydroxyvitamin D2, Blood"
"57473-1","1,25-dihydroxyvitamin D3 1 hr after Calcium, Blood"
"57474-9","1,25-dihydroxyvitamin D3 1 hr after Calcium, Blood"
"57469-9","1,25-dihydroxyvitamin D3 2 hr after Calcium, Blood"
"57470-7","1,25-dihydroxyvitamin D3 2 hr after Calcium, Blood"
"57471-5","1,25-dihydroxyvitamin D3 3 hr after Calcium, Blood"
"57472-3","1,25-dihydroxyvitamin D3 3 hr after Calcium, Blood"
"57467-3","1,25-dihydroxyvitamin D3 before dose Calcium, Blood"
"57468-1","1,25-dihydroxyvitamin D3 before dose Calcium, Blood"
"14566-4","1,25-dihydroxyvitamin D3, Blood"
"1649-3","1,25-dihydroxyvitamin D3, Blood"
"38583-1","1,2-Dibromo-3-Chloropropane, Air"
"38288-7","1,2-Dibromo-3-Chloropropane, Water"
"18434-1","1,2-Dichlorobenzene, Blood"
"38289-5","1,2-Dichlorobenzene, Water"
"38695-3","1,2-Dichloroethane, Air"
"54935-2","1,2-Dichloroethane, Blood"
"80630-7","1,2-Dichloroethane, Blood"
"38291-1","1,2-Dichloroethane, Water"
"38617-7","1,2-Dichloropropane, Air"
"38296-0","1,2-Dichloropropane, Water"
"38756-3","1,2-Dimethylbenzene, Air"
"13650-7","1,2-Dimethylbenzene, Blood"
"29144-3","1,2-Dimethylbenzene, Blood"
"38691-2","1,2-Diphenylhydrazine, Air"
"35578-4","1,2-Glyceryl dinitrate, Blood"
"42176-8","1,3 beta glucan, Blood"
"93812-6","1,3 beta glucan, Blood"
"88923-8","1,3 beta glucan, Lower respiratory"
"62468-4","1,3 beta glucan, Specimen"
