"ParentGroupId","GroupId","Group","Archetype","Status","VersionFirstReleased"
"LG100-4","LG8749-6","(Acer negundo+Betula verrucosa+Fagus grandifolia+Quercus alba+Juglans californica) Ab.IgE|ACnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG8626-6","(Acer negundo+Betula verrucosa+Quercus alba+Ulmus americana+Juglans californica) Ab.IgE|ACnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG8750-4","(Alnus incana+Betula verrucosa+Corylus avellana+Quercus alba+Salix caprea) Ab.IgE|ACnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG8717-3","(Alnus incana+Corylus avellana+Ulmus americana+Salix caprea+Populus deltoides) Ab.IgE|ACnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG8714-0","(Avena sativa+Fagopyrum esculentum+Sesamum indicum+Triticum aestivum+Zea mays) Ab.IgE|ACnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG27509-5","(Dermatophagoides pteronyssinus+Cat dander+Cat epithelium+Horse dander+Dog dander+Rabbit epithelium) Ab.IgE|ACnc|Pt|ANYBldSerPl","82114-0","Active",""
"LG100-4","LG8635-7","(Gadus morhua+Mytilus edulis+Pandalus borealis+Salmo salar+Thunnus albacares) Ab.IgE|ACnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG22432-5","1,2-Dichloroethane|MCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG1330-2","1,2-Dimethylbenzene|MCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG5873-7","1,3-Dichlorobenzene|MCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG1323-7","1,3-Dimethylbenzene|MCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG1695-8","1,4-Dichlorobenzene|MCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG1331-0","1,4-Dimethylbenzene|MCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG1687-5","1,4-Dioxane|MCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG12240-4","10-Hydroxycarbazepine|MCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG19984-0","11-Dehydro thromboxane beta 2/Creatinine|MRto|Pt|ANYUrine","","Active",""
"LG100-4","LG10335-4","14-3-3 Ag|ACnc|Pt|CSF","31990-5","Active",""
"LG100-4","LG8578-9","14-3-3 Ag|PrThr|Pt|CSF","31989-7","Active",""
"LG100-4","LG4780-5","17-Hydroxyprogesterone|MCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG50877-6","17-Hydroxyprogesterone|MCnc|Pt|Bld.dot","38473-5","Active",""
"LG100-4","LG4815-9","17-Ketogenic steroids|MCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG27047-6","1-Hydroxymidazolam|MCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG25406-6","1-Naphthol|MCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG5223-5","2,4-Dichlorophenoxyacetate|MCnc|Pt|ANYUrine","","Active",""
"LG100-4","LG51037-6","3-Hydroxy-3-Methylglutaryl-coenzyme A reductase Ab|ACnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG11996-2","3-Hydroxypalmitoylcarnitine (C16-OH)|SCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG16738-3","3-Methylcrotonylglycine|SCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG24794-6","4-Hydroxy-Tamoxifen|MCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG20030-9","6-Monoacetylmorphine.free|MCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG2642-9","6-Monoacetylmorphine|ACnc|Pt|ANYUrine","","Active",""
"LG100-4","LG4734-2","6-Monoacetylmorphine|MCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG561-7","6-Monoacetylmorphine|MCnc|Pt|ANYUrine","","Active",""
"LG100-4","LG50882-6","7-Alpha hydroxy-4-cholesten-3-one|SCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG50881-8","7-Alpha,12-alpha dihydroxycholest-4-en-3-one|SCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG10956-7","7-Aminoclonazepam|MCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG6560-9","7-Aminoflunitrazepam|MCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG24966-0","9-Hydroxyrisperidone|MCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG25409-0","Acebutolol|MCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG14125-5","Acenocoumarol|MCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG13582-8","Acepromazine|MCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG5053-6","Acetaldehyde|MCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG14287-3","Acetaldehyde|PrThr|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG13584-4","Acetaminophen|MCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG51381-8","Acetaminophen-cysteine adduct|SCnc|Pt|ANYBldSerPl","93972-8","Active",""
"LG100-4","LG13591-9","Acetazolamide|MCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG14820-1","Acetoacetate|SCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG22607-2","Acetone|MCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG15582-6","Acetone|PrThr|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG2768-2","Acetone|SCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG4386-1","Acetonitrile|MCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG152-5","Acetophenazine|MCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG6812-4","Acetylcholine receptor Ab|SCnc|Pt|ANYBldSerPl","20427-1","Active",""
"LG100-4","LG50988-1","Acetylcholine receptor ganglionic neuronal Ab|SCnc|Pt|ANYBldSerPl","42233-7","Active",""
"LG100-4","LG5680-6","Acetylcholinesterase|CCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG1127-2","Acetylene|MCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG4389-5","Acid phosphatase.tartrate resistant|CCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG4388-7","Acid phosphatase|CCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG1678-4","Acrylamide|MCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG21915-0","Actin.filamentous Ab|ACnc|Pt|ANYBldSerPl","54021-1","Active",""
"LG100-4","LG21914-3","Actin.filamentous Ab|PrThr|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG26320-8","Actin.smooth muscle Ab|PrThr|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG4392-9","Acyl carnitine|MCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG30219-6","Acyl CoA dehydrogenases|CCnt|Pt|Fibroblasts","","Active",""
"LG100-4","LG18297-8","Acylcarnitine pattern|Imp|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG13374-0","Acylcarnitine pattern|Imp|Pt|ANYUrine","","Active",""
"LG100-4","LG12703-1","Acylcarnitine|PrThr|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG50118-5","Adalimumab Ab|ACnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG28981-5","Adalimumab Ab|MCnc|Pt|ANYBldSerPl","74116-5","Active",""
"LG100-4","LG28982-3","Adalimumab|MCnc|Pt|ANYBldSerPl","74117-3","Active",""
"LG100-4","LG4670-8","Adenosine deaminase|CCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG2714-6","Adrenal Ab|PrThr|Pt|ANYBldSerPl","14232-3","Active",""
"LG100-4","LG13059-7","Adrenal Ab|Titr|Pt|ANYBldSerPl","32661-1","Active",""
"LG100-4","LG20589-4","Adrenal cortex Ab|ACnc|Pt|ANYBldSerPl","8060-6","Active",""
"LG100-4","LG25962-8","Agrostis stolonifera Ab.IgE|ACnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG5272-2","Alanine aminotransferase|CCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG51020-2","Albumin/Creatinine|PrThr|Pt|ANYUrine","","Active",""
"LG100-4","LG11837-8","Albumin/Creatinine|Ratio|Pt|ANYUrine","32294-1","Active",""
"LG100-4","LG17510-5","Albumin/Globulin|MRto|24H|ANYUrine","9406-0","Active",""
"LG100-4","LG5164-1","Albumin/Globulin|MRto|Pt|ANYBldSerPl","1759-0","Active",""
"LG100-4","LG17509-7","Albumin/Globulin|MRto|Pt|ANYUrine","9405-2","Active",""
"LG100-4","LG650-8","Albumin/Globulin|MRto|Pt|Body fld","12174-9","Active",""
"LG100-4","LG2364-0","Albumin/Globulin|MRto|Pt|CSF","14433-7","Active",""
"LG100-4","LG1963-0","Albumin/Protein.total|MFr|Pt|ANYBldSerPl","35706-1","Active",""
"LG100-4","LG6574-0","Albumin|MCnc|24H|ANYUrine","21059-1","Active",""
"LG100-4","LG5465-2","Albumin|MCnc|Pt|ANYBldSerPl","","Active",""
"LG100-4","LG307-5","Albumin|MCnc|Pt|ANYUrine","1754-1","Active",""
"LG100-4","LG5308-4","Albumin|MCnc|Pt|Body fld","1747-5","Active",""
"LG100-4","LG5302-7","Albumin|MCnc|Pt|CSF","1746-7","Active",""
"LG100-4","LG5473-6","Albumin|MCnc|Pt|Synv fld","1752-5","Active",""
"LG100-4","LG5562-6","Albumin|MRat|24H|ANYUrine","1755-8","Active",""
"LG100-4","LG5481-9","Albumin|PrThr|Pt|ANYUrine","1753-3","Active",""
