"Category","GroupId","Archetype","LoincNumber","LongCommonName"
"Document groups","LG38741-1","","100438-1","Adolescent medicine Outpatient Progress note"
"Document groups","LG38741-1","","100439-9","Allergy and Immunology Outpatient Progress note"
"Document groups","LG38741-1","","100440-7","Allergy Outpatient Progress note"
"Document groups","LG38741-1","","100441-5","Attending Outpatient Progress note"
"Document groups","LG38741-1","","100442-3","Audiology Outpatient Progress note"
"Document groups","LG38741-1","","100443-1","Bariatric surgery Outpatient Progress note"
"Document groups","LG38741-1","","100444-9","Blood banking and transfusion medicine Outpatient Progress note"
"Document groups","LG38741-1","","100445-6","Bone Marrow Transplant Outpatient Progress note"
"Document groups","LG38741-1","","100446-4","Breastfeeding Outpatient Progress note"
"Document groups","LG38741-1","","100447-2","Burn management Outpatient Progress note"
"Document groups","LG38741-1","","100448-0","Cardiac surgery Outpatient Progress note"
"Document groups","LG38741-1","","100449-8","Cardiopulmonary Outpatient Progress note"
"Document groups","LG38741-1","","100450-6","Child and adolescent psychiatry Outpatient Progress note"
"Document groups","LG38741-1","","100451-4","Chiropractic medicine Outpatient Progress note"
"Document groups","LG38741-1","","100452-2","Clinical cardiac electrophysiology Outpatient Progress note"
"Document groups","LG38741-1","","100453-0","Clinical genetics Outpatient Progress note"
"Document groups","LG38741-1","","100454-8","Clinical neurophysiology Outpatient Progress note"
"Document groups","LG38741-1","","100455-5","Clinical pathology Outpatient Progress note"
"Document groups","LG38741-1","","100456-3","Colon and rectal surgery Outpatient Progress note"
"Document groups","LG38741-1","","100457-1","Consultant Outpatient Progress note"
"Document groups","LG38741-1","","100460-5","Dermatology Outpatient Progress note"
"Document groups","LG38741-1","","100461-3","Developmental-behavioral pediatrics Outpatient Progress note"
"Document groups","LG38741-1","","100462-1","Dialysis and Therapeutic apheresis Outpatient Progress note"
"Document groups","LG38741-1","","100463-9","Eating disorders Outpatient Progress note"
"Document groups","LG38741-1","","100464-7","Endocrinology Outpatient Progress note"
"Document groups","LG38741-1","","100465-4","Family medicine Outpatient Progress note"
"Document groups","LG38741-1","","100466-2","Gastroenterology Outpatient Progress note"
"Document groups","LG38741-1","","100467-0","Geriatric medicine Outpatient Progress note"
"Document groups","LG38741-1","","100468-8","Gynecologic oncology Outpatient Progress note"
"Document groups","LG38741-1","","100469-6","Gynecology Outpatient Progress note"
"Document groups","LG38741-1","","100470-4","Healthcare navigator Outpatient Progress note"
"Document groups","LG38741-1","","100471-2","Heart failure Outpatient Progress note"
"Document groups","LG38741-1","","100472-0","Heart failure+Transplant cardiology Outpatient Progress note"
