"ParentGroupId","Type","Value"
"LG100-4","Description","This parent group contains groups for terms in any of the following classes: CHEM, DRUG/TOX, CHAL, SERO, and ALLERGY. Each group contains terms with the same Component, Property, and Time aspect. The terms in a given group also have the same System, except when the System is in the intravascular or urine category, in which case terms that have any of the Systems in that category are rolled up. For example, a group for a given analyte in CSF only has terms with the System 'CSF', but a group for an analyte in an intravascular specimen contains terms with a variety of Systems, including 'Bld', 'Ser/Plas', 'BldV', etc. Some intravascular Systems are purposely excluded from this rollup, including cord blood ('BldCo') and dried blood spots (DBS)."
"LG103-8","Description","This parent group contains separate groups for individual viruses that are considered reportable by the Centers for Disease Control and Prevention (CDC). A given group contains all of the terms that represent testing for a specific virus, regardless of the Method or type of result."
"LG105-3","Description","This parent group contains separate groups at the genus+species level, for individual non-virus microorganisms that are considered reportable based on the Centers for Disease Control and Prevention (CDC) list for notifiable infectious diseases from October 2017."
"LG106-1","Description","This parent group contains separate groups at the genus level, for individual non-virus microorganisms that are considered reportable based on the Centers for Disease Control and Prevention (CDC) list for notifiable infectious diseases from October 2017."
"LG27-5","Description","This parent group contains specific groups for each type of cell in a cell differential. Each individual group contains terms with the same cell type, Property (e.g., number concentration), Time aspect, and System, regardless of the Method. These groups mostly combine methodless terms with those that specify automated or manual counts."
"LG41751-5","Description","This parent group contains a single group of LOINC terms that represent concepts related to physical activity. These terms span a broad range of concepts, from quantitative exercise frequency and duration to activity preferences and physical activity protocols. This group relies on manual tagging of concepts related to exercise within the LOINC database, since there is no single unifying aspect for all of the LOINC terms contained in the group. Feedback about missing concepts or terms that should not be included is welcome."
"LG41762-2","Description","This parent group contains a single group for concepts related to Social determinants of health (SDOH). SDOH are defined as ""the structural determinants and conditions in which people are born, grow, live, work, and age"" and are divided into several categories, including socioeconomic status, education, physical environment, employment, social support network, and access to health care. Examples of social conditions affecting health In the United States include the direct correlation between level of education and life expectancy and the inverse correlation between level of education and the likelihood of smoking. Attempts to improve the health of people in United States have historically focused primarily on the healthcare system itself, but studies have shown that  increasing access to quality healthcare does not translate into better health outcomes. To truly improve the health of all sectors of society a much broader approach must be developed that includes SDOH. [https://www.kff.org/disparities-policy/issue-brief/beyond-health-care-the-role-of-social-determinants-in-promoting-health-and-health-equity/] Unlike most of the other LOINC Groups that are query-driven, this Group is defined manually since the LOINC terms related to SDOH do not have consistent attributes (e.g., Component or System) that can be queried. Feedback is welcome, as are new term requests to help fill in the LOINC content gaps for SDOH concepts."
"LG41808-3","Description","This parent group contains a single group for LOINC radiology terms that have ""Abdomen"" as the region imaged. It allows users to find all radiology studies that image the abdomen, regardless of the imaging focus or method (modality). Note that terms with multiple regions imaged will be included in the individual group for each region."
"LG41809-1","Description","This parent group contains a single group for LOINC radiology terms that have ""Head"" as the region imaged. It allows users to find all radiology studies that image the head, regardless of the imaging focus or method (modality). Note that terms with multiple regions imaged will be included in the individual group for each region."
"LG41811-7","Description","This parent group contains a single group for LOINC radiology terms that have ""Neck"" as the region imaged. It allows users to find all radiology studies that image the neck, regardless of the imaging focus or method (modality). Note that terms with multiple regions imaged will be included in the individual group for each region."
"LG41812-5","Description","This parent group contains a single group for LOINC radiology terms that have ""Chest"" as the region imaged. It allows users to find all radiology studies that image the chest, regardless of the imaging focus or method (modality). Note that terms with multiple regions imaged will be included in the individual group for each region."
"LG41813-3","Description","This parent group contains a single group for LOINC radiology terms that have ""Pelvis"" as the region imaged. It allows users to find all radiology studies that image the pelvis, regardless of the imaging focus or method (modality). Note that terms with multiple regions imaged will be included in the individual group for each region."
"LG41814-1","Description","This parent group contains a single group for LOINC radiology terms that have ""Lower extremity"" as the region imaged. It allows users to find all radiology studies that image the lower extremity, regardless of the imaging focus or method (modality). Note that terms with multiple regions imaged will be included in the individual group for each region."
"LG41816-6","Description","This parent group contains a single group for LOINC radiology terms that have ""Upper extremity"" as the region imaged. It allows users to find all radiology studies that image the upper extremity, regardless of the imaging focus or method (modality). Note that terms with multiple regions imaged will be included in the individual group for each region."
"LG41817-4","Description","This parent group contains a single group for LOINC radiology terms that have ""Extremity"" as the region imaged, regardless of the imaging focus or method (modality). It does not include terms that specify either the lower or upper extremity."
"LG41818-2","Description","This parent group contains a single group for LOINC radiology terms that have ""Whole body"" as the region imaged, regardless of the imaging focus or method (modality)."
"LG41820-8","Description","This parent group contains a single group of LOINC radiology terms that do not specify the region imaged. Such terms are for general concepts such as ultrasound guidance during surgery, or for studies where the imaging focus exists in multiple parts of the body but only one specific instance is being imaged, such as a blood vessel or bone."
"LG41821-6","Description","This parent group contains a single group for LOINC radiology terms that have ""Breast"" as the region imaged, regardless of the imaging focus or method (modality)."
"LG41822-4","Description","This parent group contains individual groups for each Setting in the Document Ontology, regardless of Type of Service, Kind of Document, Subject Matter Domain, or Role."
"LG41855-4","Description","This parent group contains a single group of LOINC terms related to smoking status and smoke exposure, regardless of whether the exposure is primary or secondary. This group is defined primarily by string matching for key words, since there is no single unifying aspect for all of the LOINC terms contained in the group. Feedback about missing concepts or terms that should not be included is welcome."
"LG47-3","Description","This parent group contains individual groups for each vital sign, where each group contains terms that represent the more routine measurements for each vital sign. These groups do not take the Method into account, so, for example, terms for heart rate measured by palpation and intra-arterial line are grouped together.  All of the terms have a timing of point in time and do not include a challenge (e.g., standing or post bronchodilation) for that particular vital sign.  All of the vitals are defined as ""routine"" based on the following criteria: 1) all measurements are point in time (e.g., do not include min/max values for various time periods); 2) none of the terms include a challenge (e.g., standing or post bronchodilation); 3) blood pressure terms only include the ones where the System is 'Arterial system' or 'Brachial artery'; 4) respiratory rate terms only include those with a System of 'Respiratory system'; 5) temperature terms exclude those with a System of 'Finger', 'Toe' and 'Surface'; and 6) oxygen saturation terms only include those with a System that contains 'Bld*' and exclude Systems such as right and left atrium and ventricle and pulmonary artery."
"LG50067-4","Description","This parent group contains a single group of LOINC terms for fetal body weight by any Method."
"LG50107-8","Description","This parent group contains a single group of LOINC terms related to biochemical markers of smoking, such as cotinine, anabasine, and metabolites."
"LG50109-4","Description","This parent group contains a single group of LOINC terms for fetal gestational age by any Method."
"LG50110-2","Description","This parent group contains a single group of LOINC terms that represent the pregnancy due date by any Method."
"LG50140-9","Description","This parent group contains a single group of LOINC terms that represent pregnancy tests regardless of the System (serum or urine)."
"LG50907-1","Description","This parent group contains individual groups of microbiology terms that have the same Component, Property, Time aspect, and any System related to the eye (e.g., eye, cornea/conjunctiva, ocular fluid), regardless of the method."
"LG51014-5","Description","This parent group contains a single group of LOINC terms for detection of SARS-CoV-2, including molecular, antigen, and culture codes."
"LG51015-2","Description","This parent group contains a single group of LOINC terms for detection of SARS-CoV-2 antibodies."
"LG51016-0","Description","This parent group contains a single group of LOINC terms for the molecular detection of SARS-CoV-2."
"LG55-6","Description","This parent group contains individual groups for terms that can be equivalenced based on converting mass concentration to molar concentration or vice versa. The Component, Time aspect, System and Method for all of the terms in a given group are the same."
"LG66-3","Description","This parent group contains individual groups of microbiology terms that have the same Component, Property, Time aspect, and any respiratory System (e.g., nasopharynx, sputum, bronchoalveolar lavage, respiratory.upper), regardless of the method."
"LG68-9","Description","This parent group contains individual groups of microbiology terms that have the same Component, Property, Time aspect, and any genitourinary System (e.g., cervix, urethra), regardless of the Method. General, non-organism specific bacterial cultures (e.g., urine culture) are excluded, because the results have different clinical significance."
"LG70-5","Description","This parent group contains individual groups for non-fetal body weight, body height and head circumference, where each group contains terms that represent the more routine measurements for each parameter. Each group is defined as ""routine"" based on the following: 1) they do not include terms with a Method of 'Estimated'; 2) body weight terms only include the challenges 'usual','used for drug calculation','with clothes','without clothes' and do not include any of the 'pre-' or 'post-' measurements; 3) body height terms only include the challenges 'lying' and 'standing' and do not include any 'pre-' and 'post-' measurements."
"LG74-7","Description","This parent group contains individual groups for urine terms that have the same Component and Property regardless of the Time aspect or Method. Note that Microalbumin terms are excluded from this parent group due to the way these terms are modeled in LOINC (based on a combination of the Component and Method), but there is a separate parent group for microalbumin."
"LG78-8","Description","This parent group contains groups for microalbumin terms that have the same Component and Property regardless of the Time aspect or Method."
"LG80-4","Description","This parent group contains individual groups by analyte for terms in the Drug/Tox class that have been tagged as potentially being drugs of abuse in the LOINC database. Marking these terms as such is a work in progress, so there may be terms that should be included that are not, as well as those that are included that should not be. Each individual group contains terms with the same Component regardless of Property, Time aspect, System, Scale, and Method, in order to help identify patients who have been tested for a particular substance regardless of the specific testing done. Feedback is welcome."
"LG85-3","Description","This parent group contains individual groups for radiology extremity terms that have the same method (modality), component and imaging focus, regardless of laterality. This parent group does not contain extremity terms that do not have an imaging focus."
"LG88-7","Description","This parent group contains individual groups for breast imaging terms that have the same method (modality) and component, regardless of laterality."
"LG89-5","Description","This parent group contains individual groups for kidney imaging terms that have the same method (modality) and component, regardless of laterality."
"LG90-3","Description","This parent group contains individual groups for each Type of Service+Kind of Note combination in the Document Ontology, regardless of Subject Matter Domain, Role, and Setting."
"LG92-9","Description","This parent group contains individual groups for each Subject Matter Domain+Role combination in the Document Ontology, regardless of the Type of Service, Kind of Note, and Setting."
"LG96-0","Description","This parent group contains individual groups for radiology extremity terms that have the same method (modality) and component, regardless of laterality. This parent group only contains extremity terms that do not have an imaging focus."
"LG97-8","Description","This parent group contains groups for terms with the same Component, System of either 'Urine' or 'Urine sed', and any Property, Time aspect, or Method."
