"LOINC_NUM","COMPONENT","PROPERTY","TIME_ASPCT","SYSTEM","SCALE_TYP","METHOD_TYP","CLASS","SHORTNAME","LONG_COMMON_NAME","RELATEDNAMES2","LinguisticVariantDisplayName"
"94519-6","Entlassungsbrief Ärztlich","Ergebnis","Zeitpunkt","{Setting}","Dokument","Dermatologie","DOC.ONTOLOGY","","","Bericht Entlassungsbrief aus stationärer Behandlung (Arzt); Ärztlicher Entlassungsbrief",""
"43730-1","","","","","","","","","","EBV-DNA qn. PCR","EBV-DNA quantitativ PCR"
"41009-2","","","","","","","","","","CoV OC43 RNA ql/SM P","Coronavirus OC43 RNA ql. /Sondermaterial PCR"
"49521-8","","","","","","","","","","INFA-RNA H1 ql./SM P","Influenza-A-H1-RNA ql. /Sondermaterial PCR"
"49524-2","","","","","","","","","","INFA-RNA H3 ql./SM P","Influenza-A-H3-RNA ql. /Sondermaterial PCR"
"34691-6","","","","","","","","","","Erythro-DH-Bupropion","Erythro-Dihydrobupropion"
"81994-6","","","","","","","","","","IgE f427 R","IgE f427 Erdnusskomponente (rAra h9) RAST"
"62423-9","","","","","","","","","","CoV HKU1 RNA ql/SM P","Coronavirus HKU1 RNA ql. /Sondermaterial PCR"
"88720-8","","","","","","","","","","M.pn. DNA ql. /NP P","Mycoplasma pneumoniae DNA ql. /NP PCR"
"86586-5","","","","","","","","","","HPeV RNA PCR ql./L P","Humanes Parechovirus RNA ql. /Liquor PCR"
"90880-6","","","","","","","","","","IgE f447","IgE f447 Erdnusskomponente (rAra h6)"
"94315-9","","","","","","","","","","SCV2 E-G. ql. /X P","SARS-CoV-2 E-Gen ql. /Material n. spez. PCR"
"94500-6","","","","","","","","","","SCV2-RNA ql. /RT P","SARS-CoV-2-RNA ql. /Respirationstrakt PCR"
"10857-1","","","","","","","","","","Microsporidien mikr. /SM","Microsporidien mikr. /Sondermaterial"
"10626-0","","","","","","","","","","Spermien Mobilität langsam rel. /EJ","Spermien Mobilität langsam relativ /Ejakulat"
"21184-7","","","","","","","","","","Chlamydophila pneumoniae ql. Kultur /SM","Chlamydophila pneumoniae ql. Kultur /SM"
"21748-9","","","","","","","","","","Kappa Leichtketten Rearrangements","Kappa Leichtketten Rearrangements"
"20752-2","","","","","","","","","","Chlamydophila psittaci ql. Kultur /SM","Chlamydophila psittaci ql. Kultur /SM"
"20966-8","","","","","","","","","","Staphylococcus spp. Kultur /SM","Staphylococcus spp. Kultur /Sondermaterial"
"34352-5","","","","","","","","","","Pentacarboxylporphyrin /U","Pentacarboxylporphyrin /Urin"
"34174-3","","","","","","","","","","Hämoglobinzylinder /US","Hämoglobinzylinder /Urinsediment"
"34314-5","","","","","","","","","","Heptacarboxyporphyrin /U","Heptacarboxyporphyrin /Urin"
"34387-1","","","","","","","","","","Zink /U","Zink /Urin"
"34434-1","","","","","","","","","","LH/FSH Ratio","LH/FSH Ratio"
"34284-0","","","","","","","","","","Delta-Amino-Lävulinsäure /U","Delta-Amino-Lävulinsäure /Urin"
