"LOINC_NUM","COMPONENT","PROPERTY","TIME_ASPCT","SYSTEM","SCALE_TYP","METHOD_TYP","CLASS","SHORTNAME","LONG_COMMON_NAME","RELATEDNAMES2","LinguisticVariantDisplayName"
"14394-1","Harnstoff-Stickstoff","Massenkonzentration","Zeitpunkt","Pleuraflüssigkeit","Quantitativ","","Klinische Chemie (keine Funktionstests)","","Harnstoff-Stickstoff [Masse/Volumen] in Pleuraflüssigkeit","",""
"14396-6","Harnstoff-Stickstoff","Massenkonzentration","Zeitpunkt","Synovialflüssigkeit","Quantitativ","","Klinische Chemie (keine Funktionstests)","","Harnstoff-Stickstoff [Masse/Volumen] in Synovialflüssigkeit","",""
"24141-4","Iva ciliata Ak.IgG","Arbiträre Konzentration","Zeitpunkt","Serum","Quantitativ","","Allergie","","Iva ciliata-IgG-Antikörper [Einheiten/Volumen] in Serum","",""
"24147-1","(Hühnerfeder+Entenfeder+Gänsefeder) Ak.IgE","Arbiträre Konzentration","Zeitpunkt","Serum","Quantitativ","Multidisk","Allergie","","(Hühnerfeder+Entenfeder+Gänsefeder)-IgE-Antikörper [Einheiten/Volumen] in Serum mit Multidisk","",""
"25684-2","Immunglobulin Leichtketten.lambda","Massenrate","24 Stunden","Urin","Quantitativ","","Klinische Chemie (keine Funktionstests)","","Lambda-Leichtketten [Masse/Zeit] in 24-Stunden-Urin","",""
"26524-9","Promyelozyten/100 Leukozyten","Anzahl pro Fraktion","Zeitpunkt","Blut","Quantitativ","","Hämatologie und Zellzählung","","Promyelozyten/100 Leukozyten in Blut","",""
"26548-8","Glucose^30 Minuten nach Dosis Glucose","Nachweis oder Schwellenwert","Zeitpunkt","Urin","Ordinal","Teststreifen","Funktionstest","","Glucose [Nachweis] in Urin mit Teststreifen --30 Minuten nach Dosis Glucose","Glukose",""
"12458-6","Corticotropin^2. Probenmaterial nach XXX Stimulation","Massenkonzentration","Zeitpunkt","Plasma","Quantitativ","","Funktionstest","","Corticotropin [Masse/Volumen] in Plasma --2. Probenmaterial nach XXX Stimulation","Adrenocorticotropes Hormon; ACTH",""
"12460-2","Corticotropin^4. Probenmaterial nach XXX Stimulation","Massenkonzentration","Zeitpunkt","Plasma","Quantitativ","","Funktionstest","","Corticotropin [Masse/Volumen] in Plasma --4. Probenmaterial nach XXX Stimulation","Adrenocorticotropes Hormon; ACTH",""
"12464-4","Corticotropin^8. Probenmaterial nach XXX Stimulation","Massenkonzentration","Zeitpunkt","Plasma","Quantitativ","","Funktionstest","","Corticotropin [Masse/Volumen] in Plasma --8. Probenmaterial nach XXX Stimulation","Adrenocorticotropes Hormon; ACTH",""
"12467-7","Aminosäuren","Nachweis oder Identität","Zeitpunkt","Urin","Nominal","","Klinische Chemie (keine Funktionstests)","","Aminosäuren [Nachweis oder Identität] in Urin","",""
"14402-2","Creatinin","Massenkonzentration","Zeitpunkt","Magenflüssigkeit","Quantitativ","","Klinische Chemie (keine Funktionstests)","","Creatinin [Masse/Volumen] in Magenflüssigkeit","",""
"14407-1","Phosphat","Massenkonzentration","Zeitpunkt","Magenflüssigkeit","Quantitativ","","Klinische Chemie (keine Funktionstests)","","Phosphat [Masse/Volumen] in Magenflüssigkeit","",""
"14417-0","Calcium","Stoffmengenkonzentration","Zeitpunkt","Peritonealflüssigkeit","Quantitativ","","Klinische Chemie (keine Funktionstests)","","Calcium [Mol/Volumen] in Peritonealflüssigkeit","Ca; Kalzium",""
"14422-0","Bilirubin","Massenkonzentration","Zeitpunkt","Peritonealflüssigkeit","Quantitativ","","Klinische Chemie (keine Funktionstests)","","Bilirubin.gesamt [Masse/Volumen] in Peritonealflüssigkeit","",""
"14423-8","Bilirubin","Massenkonzentration","Zeitpunkt","Synovialflüssigkeit","Quantitativ","","Klinische Chemie (keine Funktionstests)","","Bilirubin.gesamt [Masse/Volumen] in Synovialflüssigkeit","",""
"13708-3","Arginin/Creatinin","Massenverhältnis","Zeitpunkt","Urin","Quantitativ","","Klinische Chemie (keine Funktionstests)","","Arginin/Creatinin [Massenverhältnis] in Urin","",""
