"LOINC_NUM","COMPONENT","PROPERTY","TIME_ASPCT","SYSTEM","SCALE_TYP","METHOD_TYP","CLASS","SHORTNAME","LONG_COMMON_NAME","RELATEDNAMES2","LinguisticVariantDisplayName"
"87925-4","Ρεαγγίνη Αντίσωμα","Τίτλος","Χρονική στιγμή","ΕΝΥ","Ποσοτική","RPR","MICRO","","","Ab",""
"91790-6","Τριχομονάδα του κόλπου","PrThr","Χρονική στιγμή","Γεννητικό","Τακτική","Καλλιέργεια ταυτοποίησης συγκεκριμένου μικροοργανισμού","MICRO","","","",""
"91847-4","Στρεπτόκοκκος agalactiae (β-αιμολυτικός στρεπτόκοκκος ομάδας Β) DNA","PrThr","Χρονική στιγμή","Γεννητικό","Τακτική","Ανιχνευτής με ενίσχυση στόχου","MICRO","","","",""
"91855-7","Ιός των ανθρωπίνων θηλωμάτων: τύποι 16+18+31+33+35+39+45+51+52+56+58+59+68 DNA","PrThr","Χρονική στιγμή","Γεννητικό","Τακτική","Ανιχνευτής με ενίσχυση στόχου","MICRO","","","",""
"91857-3","Ιός απλού έρπητα DNA","PrThr","Χρονική στιγμή","Γεννητικό","Τακτική","Ανιχνευτής με ενίσχυση στόχου","MICRO","","","",""
"91858-1","Ιός απλού έρπητα τύπου 2 DNA","PrThr","Χρονική στιγμή","Γεννητικό","Τακτική","Ανιχνευτής με ενίσχυση στόχου","MICRO","","","",""
"92687-3","Λάμβλια DNA","PrThr","Χρονική στιγμή","Κόπρανα","Τακτική","Ανιχνευτής με ενίσχυση στόχου","MICRO","","","Giardia lamblia",""
"89578-9","Τροπονίνη Ι (καρδιακό ένζυμο)","Εντύπωση/ερμηνεία μελέτης","Χρονική στιγμή","Ορός/Πλάσμα","Τακτική","Υψηλής ευαισθησίας","CHEM","","","",""
"89579-7","Τροπονίνη Ι (καρδιακό ένζυμο)","Συγκέντρωση μάζας","Χρονική στιγμή","Ορός/Πλάσμα","Ποσοτική","Υψηλής ευαισθησίας","CHEM","","","",""
"88713-3","Φώσφορος","Συγκέντρωση μάζας","Χρονική στιγμή","Κόπρανα","Ποσοτική","","CHEM","","","",""
"97657-1","Βανκομυκίνη^2 ώρες μετά τη δόση","Συγκέντρωση μάζας","Χρονική στιγμή","Ορός/Πλάσμα","Ποσοτική","","DRUG/TOX","","","",""
"97762-9","Παραθορμόνη.ακέραιη","Συγκέντρωση ουσίας","Χρονική στιγμή","Σωματικό υγρό","Ποσοτική","","CHEM","","","",""
"90285-8","Τριχομονάδα του κόλπου","PrThr","Χρονική στιγμή","Κολπικό","Τακτική","Καλλιέργεια ταυτοποίησης συγκεκριμένου μικροοργανισμού","MICRO","","","",""
"91070-3","Ιός Ηπατίτιδας Α RNA","PrThr","Χρονική στιγμή","Κόπρανα","Τακτική","Ανιχνευτής με ενίσχυση στόχου","MICRO","","","HAV",""
"89871-8","Χολερυθρίνη","Συγκέντρωση ουσίας","Χρονική στιγμή","Φλεβικό αίμα","Ποσοτική","","CHEM","","","",""
"90278-3","Βακτήρια ταυτοποιημένο","Παρουσία ή ταυτοποίηση","Χρονική στιγμή","Αρθρικό υγρό","Ονομαστική","Αερόβια καλλιέργεια","MICRO","","","",""
"90273-4","Βακτήρια ταυτοποιημένο","Παρουσία ή ταυτοποίηση","Χρονική στιγμή","Άκρο καθετήρα","Ονομαστική","Αναερόβια καλλιέργεια","MICRO","","","",""
"90282-5","Μικροσκοπική παρατήρηση","Παρουσία ή ταυτοποίηση","Χρονική στιγμή","Άκρο καθετήρα","Ονομαστική","Χρώση κατά Gram","MICRO","","","",""
"90290-8","α1-εμβρυϊκή πρωτεΐνη Αντίσωμα","Αυθαίρετη συγκέντρωση","Χρονική στιγμή","Ορός/Πλάσμα","Ποσοτική","IA","SERO","","","Ab",""
"90302-1","Τριχομονάδα του κόλπου DNA","PrThr","Χρονική στιγμή","Τράχηλος της μήτρας","Τακτική","Ανιχνευτής με ενίσχυση στόχου","MICRO","","","",""
"90281-7","Βακτήρια ταυτοποιημένο","Παρουσία ή ταυτοποίηση","Χρονική στιγμή","Περιτοναϊκό υγρό","Ονομαστική","Αερόβια καλλιέργεια","MICRO","","","",""
"90286-6","Τριχομονάδα του κόλπου","PrThr","Χρονική στιγμή","Κολπικό","Τακτική","Οπτικό μικροσκόπιο","MICRO","","","",""
"90303-9","Τριχομονάδα του κόλπου","PrThr","Χρονική στιγμή","Τράχηλος της μήτρας","Τακτική","Οπτικό μικροσκόπιο","MICRO","","","",""
"91060-4","Ελικοβακτηρίδιο του πυλωρού DNA","PrThr","Χρονική στιγμή","Ιστός","Τακτική","Ανιχνευτής με ενίσχυση στόχου","MICRO","","","",""
"91061-2","Ελικοβακτηρίδιο του πυλωρού DNA","PrThr","Χρονική στιγμή","Κόπρανα","Τακτική","Ανιχνευτής με ενίσχυση στόχου","MICRO","","","",""
"89648-0","Χλαμύδια του τραχώματος","PrThr","Χρονική στιγμή","Λάρυγγας","Τακτική","Καλλιέργεια ταυτοποίησης συγκεκριμένου μικροοργανισμού","MICRO","","","",""
"89872-6","Χολερυθρίνη","Συγκέντρωση ουσίας","Χρονική στιγμή","Αρτηριακό αίμα","Ποσοτική","","CHEM","","","",""
"90272-6","Στρεπτόκοκκος agalactiae (β-αιμολυτικός στρεπτόκοκκος ομάδας Β) DNA","PrThr","Χρονική στιγμή","Κολπικό","Τακτική","Ανιχνευτής με ενίσχυση στόχου","MICRO","","","",""
"90274-2","Βακτήρια ταυτοποιημένο","Παρουσία ή ταυτοποίηση","Χρονική στιγμή","Άκρο καθετήρα","Ονομαστική","Αερόβια καλλιέργεια","MICRO","","","",""
"91844-1","Τριχομονάδα του κόλπου DNA","PrThr","Χρονική στιγμή","Γεννητικό","Τακτική","Ανιχνευτής με ενίσχυση στόχου","MICRO","","","",""
"91859-9","Ιός απλού έρπητα τύπου 1 DNA","PrThr","Χρονική στιγμή","Γεννητικό","Τακτική","Ανιχνευτής με ενίσχυση στόχου","MICRO","","","",""
"92700-4","Τριχομονάδα του κόλπου DNA","PrThr","Χρονική στιγμή","Κολπικό","Τακτική","DNA ανιχνευτής","MICRO","","","",""
"92870-5","Ιός απλού έρπητα τύπου 1 DNA","PrThr","Χρονική στιγμή","Αίμα","Τακτική","Ανιχνευτής με ενίσχυση στόχου","MICRO","","","",""
"89582-1","Μικροσκοπική παρατήρηση","Παρουσία ή ταυτοποίηση","Χρονική στιγμή","Τράχηλος της μήτρας","Ονομαστική","Οξεάντοχη χρώση","MICRO","","","",""
"92698-0","Gardnerella του κόλπου DNA","PrThr","Χρονική στιγμή","Κολπικό","Τακτική","DNA ανιχνευτής","MICRO","","","",""
"92848-1","Ιός ανεμευλογιάς-έρπητα ζωστήρα DNA","Αριθμητική συγκέντρωση","Χρονική στιγμή","Αίμα","Ποσοτική","Ανιχνευτής με ενίσχυση στόχου","MICRO","","","VZV",""
"98207-4","Έλεγχος ανοσοσφαιρινών IgG και IgM έναντι της Μπορρέλιας burgdorferi","-","Χρονική στιγμή","ΕΝΥ","-","IA","PANEL.MICRO","","","",""
"92873-9","Ιός απλού έρπητα τύπου 2 DNA","PrThr","Χρονική στιγμή","Αίμα","Τακτική","Ανιχνευτής με ενίσχυση στόχου","MICRO","","","",""
"91865-6","Βακτήρια ταυτοποιημένο","Παρουσία ή ταυτοποίηση","Χρονική στιγμή","Γεννητικό","Ονομαστική","Αναερόβια καλλιέργεια","MICRO","","","",""
"92729-3","Τακρόλιμους^2 ώρες μετά τη δόση","Συγκέντρωση μάζας","Χρονική στιγμή","Αίμα","Ποσοτική","","DRUG/TOX","","","",""
"92897-8","Αλδοστερόνη","Συγκέντρωση μάζας","Χρονική στιγμή","Ορός/Πλάσμα","Ποσοτική","IA","CHEM","","","",""
"91676-7","Λάμβλια Αντιγόνο","PrThr","Χρονική στιγμή","Κόπρανα","Τακτική","IA.rapid","MICRO","","","Ag Giardia lamblia",""
"89373-5","Ιός Ηπατίτιδας Α γονότυπος","Τύπος","Χρονική στιγμή","ΧΧΧ","Ονομαστική","Ανιχνευτής με ενίσχυση στόχου","MICRO","","","HAV",""
"91845-8","Τριχομονάδα του κόλπου","PrThr","Χρονική στιγμή","Γεννητικό","Τακτική","Οπτικό μικροσκόπιο","MICRO","","","",""
"92685-7","Τριχομονάδα του κόλπου DNA","PrThr","Χρονική στιγμή","Ούρα","Τακτική","Ανιχνευτής με ενίσχυση στόχου","MICRO","","","",""
"97192-9","Καρβαμαζεπίνη^κατώτερα επίπεδα","Συγκέντρωση ουσίας","Χρονική στιγμή","Ορός/Πλάσμα","Ποσοτική","","DRUG/TOX","","","",""
"97523-5","Ιός Ηπατίτιδας Α RNA","PrThr","Χρονική στιγμή","ΧΧΧ","Τακτική","Ανιχνευτής με ενίσχυση στόχου","MICRO","","","HAV",""
"97156-4","Ιός των ανθρωπίνων θηλωμάτων: τύποι 16+18+31+33+35+39+45+51+52+56+58+59+68 DNA","PrThr","Χρονική στιγμή","Γεννητικό","Τακτική","Ανιχνευτής με ενίσχυση σήματος","MICRO","","","",""
