"LOINC_NUM","COMPONENT","PROPERTY","TIME_ASPCT","SYSTEM","SCALE_TYP","METHOD_TYP","CLASS","SHORTNAME","LONG_COMMON_NAME","RELATEDNAMES2","LinguisticVariantDisplayName"
"93488-5","Guanidinoatsetaat","SCnc","Pt","Vereplekk","Qn","","CHEM","","","Aine kontsentratsioon Juhuslik Kvantitatiivne Veri",""
"93505-6","Heptakarboksüülporfüriin I","SRat","24 tunni","U","Qn","","CHEM","","","Aine määr Kvantitatiivne Uriin",""
"93729-2","Beeta-2-mikroglobuliin/kreatiniin","Suhe","24 tunni","U","Qn","","CHEM","","","Kvantitatiivne Uriin",""
"93748-2","Fibriini monomeerid","MCnc","Pt","PPP","Qn","IA","COAG","","","Juhuslik Kvantitatiivne Trombotsüütidevaene plasma",""
"95073-3","Histoplasma capsulatum antigeen","MCnc","Pt","BalF","Qn","IA","MICRO","","","Juhuslik Kvantitatiivne",""
"95074-1","Bakterid","PrThr","Pt","BalF","Ord","Valgusmikroskoopia","MICRO","","","Järgarvuline Juhuslik",""
"89481-6","Gentamütsiin","Susc","Pt","Is","Ord","Genotüpiseerimine","ABXBACT","","","Isolaat Järgarvuline Juhuslik Tundlikkus",""
"92255-9","Metitsilliin","Susc","Pt","Is","Ord","Genotüpiseerimine","ABXBACT","","","Isolaat Järgarvuline Juhuslik Tundlikkus",""
"92242-7","Pürasiinamiid","Susc","Pt","Is","Ord","Genotüpiseerimine","ABXBACT","","","Isolaat Järgarvuline Juhuslik Tundlikkus",""
"96635-8","HLA-C","Tüüp","Pt","B/Tis^doonor","Nom","","HLA","","","Juhuslik Kude Veri Veri või koematerjal",""
"95563-3","16-alfahüdroksüdehüdroepiandrosteroon","MRat","24 tunni","U","Qn","","CHEM","","","Kvantitatiivne Uriin",""
"95593-0","25-hüdroksükaltsiferool","MCnc","Pt","cB","Qn","","CHEM","","","Juhuslik Kapillaarne veri Kvantitatiivne",""
"95114-5","Insuliin^2 tundi pärast sööki","Acnc","Pt","S/P","Qn","","CHAL","","","Juhuslik Kvantitatiivne Plasma Seerum Seerum või plasma",""
"95181-4","Mycoplasma synoviae antikehad","Titr","Pt","S","Qn","IA","MICRO","","","Juhuslik Kvantitatiivne Seerum Tiiter",""
"93773-0","11-deoksükortisool","SCnc","Pt","Sal","Qn","","CHEM","","","Aine kontsentratsioon Juhuslik Kvantitatiivne Sülg",""
"93838-1","Histoplasma capsulatum antikehad.IgM","Acnc","Pt","CSF","Qn","IA","MICRO","","","Immuunglobuliin M Juhuslik Kvantitatiivne Liikvor",""
"94255-7","Kaltsium","MCnc","Pt","Sw","Qn","","CHEM","","","Higi Juhuslik Kvantitatiivne",""
"94256-5","Magneesium","MCnc","Pt","Sw","Qn","","CHEM","","","Higi Juhuslik Kvantitatiivne",""
"94270-6","Ubikinoon 10","SCnt","Pt","WBC","Qn","","CHEM","","","Ainehulga sisaldus Juhuslik Kvantitatiivne Leukotsüüdid",""
"94340-7","Amfifüsiin antikehad.IgG","Titr","Pt","S","Qn","IF","SERO","","","Immuunglobuliin G Juhuslik Kvantitatiivne Seerum Tiiter",""
"95543-5","Aspergillus terreus antikehad.IgG","PrThr","Pt","S","Ord","","ALLERGY","","","Immuunglobuliin G Järgarvuline Juhuslik Seerum",""
"95527-8","Tsütomegaloviirus antikehad.IgG","PrThr","Pt","Sal","Ord","IA","MICRO","","","Immuunglobuliin G Järgarvuline Juhuslik Sülg",""
"95688-8","Dengue viiruse 1.+ 2.+ 3.+ 4. tüüp antikehad.IgM","PrThr","Pt","XXX","Ord","IA","MICRO","","","Immuunglobuliin M Järgarvuline Juhuslik Täpsustamata materjal",""
"93766-4","Cryptococcus sp antigeen","Titr","Pt","U","Qn","IA.rapid","MICRO","","","Juhuslik Kvantitatiivne Tiiter Uriin",""
"93771-4","Kalprotektiin","MCnc","Pt","SynF","Qn","","CHEM","","","Juhuslik Kvantitatiivne Liigesevedelik sünoviaalvedelik",""
"95574-0","17-alfahüdroksüpregnanoloon","MRat","24 tunni","U","Qn","","CHEM","","","Kvantitatiivne Uriin",""
"95594-8","Kaltsidiool","MCnc","Pt","cB","Qn","","CHEM","","","Juhuslik Kapillaarne veri Kvantitatiivne",""
"95675-5","Kollapalaviku viirus antikehad.IgG","PrThr","Pt","XXX","Ord","IA","MICRO","","","Immuunglobuliin G Järgarvuline Juhuslik Täpsustamata materjal",""
"95719-1","Flaviviirus antikehad","PrThr","Pt","S/P","Ord","","MICRO","","","Järgarvuline Juhuslik Plasma Seerum Seerum või plasma",""
"95800-9","Immuunglobuliini vabad kerged ahelad.paneel","-","-","U","-","","PANEL.CHEM","","","Uriin",""
"95966-8","Aspergillus glaucus antikehad.IgE","Acnc","Pt","S","Qn","","ALLERGY","","","Immuunglobuliin E Juhuslik Kvantitatiivne Seerum",""
"96043-5","Uratsüül","MCnc","Pt","S/P","Qn","","CHEM","","","Juhuslik Kvantitatiivne Plasma Seerum Seerum või plasma",""
"96108-6","Klofasimiin","Susc","Pt","Is","Ord","Genotüpiseerimine","ABXBACT","","","Isolaat Järgarvuline Juhuslik Tundlikkus",""
"96111-0","Linetsoliid","Susc","Pt","Is","Ord","Genotüpiseerimine","ABXBACT","","","Isolaat Järgarvuline Juhuslik Tundlikkus",""
"94354-8","Amfifüsiin antikehad.IgG","Titr","Pt","CSF","Qn","IF","SERO","","","Immuunglobuliin G Juhuslik Kvantitatiivne Liikvor Tiiter",""
"94359-7","Glutamaadi dekarboksülaasi 65 vastased antikehad.IgG+IgM","SCnc","Pt","CSF","Qn","IA","SERO","","","Aine kontsentratsioon Immuunglobuliin G Immuunglobuliin M Juhuslik Kvantitatiivne Liikvor",""
"94537-8","Hemoglobiini paneel","-","Pt","B","-","HPLC","PANEL.HEM/BC","","","Juhuslik Veri",""
