"LOINC_NUM","COMPONENT","PROPERTY","TIME_ASPCT","SYSTEM","SCALE_TYP","METHOD_TYP","CLASS","SHORTNAME","LONG_COMMON_NAME","RELATEDNAMES2","LinguisticVariantDisplayName"
"10340-8","Molindone","질량농도","검사시점","혈청/혈장","정량","","","","","",""
"10341-6","Norpropoxyphene","질량농도","검사시점","혈청/혈장","정량","","","","","",""
"10342-4","술파메톡사졸","질량농도","검사시점","혈청/혈장","정량","","","","","",""
"10343-2","템마이즈팜","질량농도","검사시점","혈청/혈장","정량","","","","","",""
"10344-0","트라닐시프로민","질량농도","검사시점","혈청/혈장","정량","","","","","",""
"10345-7","트리헥시페니딜","질량농도","검사시점","뇨","정량","","","","","",""
"10346-5","혈색소 A","임의농도","검사시점","전혈","정량","전기영동","","","","",""
"10362-2","근육섬유막 항체.면역글로불린 A","임의농도","검사시점","혈청","순위척도","","","","","",""
"1036-3","G 항체","임의농도","검사시점","혈청/혈장^혈액제제단위","순위척도","","","","","",""
"10363-0","바르비튜레이트","임의농도","검사시점","XXX","순위척도","","","","","",""
"10364-8","코티닌","질량구성","검사시점","모발","정량","","","","","",""
"10365-5","코티닌","질량농도","검사시점","혈청/혈장","정량","","","","","",""
"10366-3","코티닌","질량농도","검사시점","뇨","정량","","","","","",""
"10367-1","에탄올","질량농도","검사시점","위액","정량","","","","","",""
"10368-9","납","질량농도","검사시점","모세혈","정량","","","","","",""
"10369-7","아편제제","질량구성","검사시점","모발","정량","","","","","",""
"10370-5","펜시클리딘","질량구성","검사시점","모발","정량","","","","","",""
"1037-1","G 항체","임의농도","검사시점","혈청/혈장^공혈자","순위척도","","","","","",""
"10371-3","바이트 세포","임의농도","검사시점","전혈","순위척도","편광현미경","","","","",""
"10372-1","물집 세포","임의농도","검사시점","전혈","순위척도","편광현미경","","","","",""
"10373-9","조각","임의농도","검사시점","전혈","순위척도","편광현미경","","","","",""
"10374-7","투구 세포","임의농도","검사시점","전혈","순위척도","편광현미경","","","","",""
"10391-1","거대세포바이러스 면역 글로불린 투여량","부피","검사시점","^환자","정량","","","","","",""
"10392-9","동결침전제제 투여량","부피","검사시점","^환자","정량","","","","","",""
"10393-7","인자 IX 투여량","종류","검사시점","^환자","명칭결과","","","","","",""
"10394-5","인자 IX 투여량","부피","검사시점","^환자","정량","","","","","",""
"10395-2","인자 VIII 투여량","종류","검사시점","^환자","명칭결과","","","","","",""
"10396-0","인자 VIII 투여량","부피","검사시점","^환자","정량","","","","","",""
"10410-9","혈장 투여량","종류","검사시점","^환자","명칭결과","","","","","",""
"10411-7","혈장 투여량","부피","검사시점","^환자","정량","","","","","",""
"10412-5","혈소판 투여량","종류","검사시점","^환자","명칭결과","","","","","",""
"1041-3","G 항원","임의농도","검사시점","적혈구","순위척도","","","","","",""
"10413-3","RH 면역 글로불린 투여량","부피","검사시점","^환자","정량","","","","","",""
"10414-1","알부민수혈","부피","검사시점","^환자","정량","","","","","",""
"10415-8","혈액 수혈 교환 수혈","부피","검사시점","^환자","정량","","","","","",""
"10434-9","도움체 C3 항원","임의농도","검사시점","조직","순위척도","면역염색","","","","",""
"10435-6","C5B-9 항원","임의농도","검사시점","조직","순위척도","면역염색","","","","",""
"10436-4","CD15 항원","임의농도","검사시점","조직","순위척도","면역염색","","","","",""
"10437-2","CD16 항원","임의농도","검사시점","조직","순위척도","면역염색","","","","",""
"10438-0","CD20 항원","임의농도","검사시점","조직","순위척도","면역염색","","","","",""
"1043-9","H 항체","임의농도","검사시점","혈청/혈장^공혈자","순위척도","","","","","",""
"10470-3","융모생식샘자극호르몬 항원","임의농도","검사시점","조직","순위척도","면역염색","","","","",""
"10471-1","크로모그라닌 A 항원","임의농도","검사시점","조직","순위척도","면역염색","","","","",""
"10472-9","크로모그라닌 항원","임의농도","검사시점","조직","순위척도","면역염색","","","","",""
"10473-7","키모트립신 항원","임의농도","검사시점","조직","순위척도","면역염색","","","","",""
"10474-5","아교질 4 형 항원","임의농도","검사시점","조직","순위척도","면역염색","","","","",""
"10475-2","부신겉질자극호르몬 항원","임의농도","검사시점","조직","순위척도","면역염색","","","","",""
"10496-8","카파면역글로불린 경쇄 항원","임의농도","검사시점","조직","순위척도","면역염색","","","","",""
"10497-6","카파면역글로불린 경쇄 아밀로이드 항원","임의농도","검사시점","조직","순위척도","면역염색","","","","",""
"10498-4","케라틴 항원","임의농도","검사시점","조직","순위척도","면역염색","","","","",""
"10499-2","람다면역글로불린 경쇄 항원","임의농도","검사시점","조직","순위척도","면역염색","","","","",""
"10516-3","갑상샘자극호르몬 항원","임의농도","검사시점","조직","순위척도","면역염색","","","","",""
"10517-1","트립신 항원","임의농도","검사시점","조직","순위척도","면역염색","","","","",""
"10518-9","Ulex europaeus I lectin Antigen","임의농도","검사시점","조직","순위척도","면역염색","","","","",""
"10519-7","바이멘틴 항원","임의농도","검사시점","조직","순위척도","면역염색","","","","",""
"10520-5","응고 인자 VI 항원","임의농도","검사시점","조직","순위척도","면역염색","","","","",""
"10521-3","응고 인자 VIII 항원","임의농도","검사시점","조직","순위척도","면역염색","","","","",""
"10542-9","Metharbital","질량농도","검사시점","혈청/혈장","정량","","","","","",""
"10543-7","Methsuximide+Normethsuximide","질량농도","검사시점","혈청/혈장","정량","","","","","",""
"10544-5","Normeperidine","임의농도","검사시점","혈청/혈장","순위척도","","","","","",""
"10545-2","Normephenytoin","질량농도","검사시점","혈청/혈장","정량","","","","","",""
"1058-7","i 항체","임의농도","검사시점","혈청/혈장^혈액제제단위","순위척도","","","","","",""
"1059-5","i 항체","임의농도","검사시점","혈청/혈장^공혈자","순위척도","","","","","",""
"10595-7","정자","계수/부피","검사시점","정액","정량","","","","","",""
"1060-3","i 항체","임의농도","검사시점","혈청/혈장","순위척도","","","","","",""
"1061-1","I 달리 분류되지 않은 항체","임의농도","검사시점","혈청/혈장^혈액제제단위","순위척도","","","","","",""
"1062-9","I 달리 분류되지 않은 항체","임의농도","검사시점","혈청/혈장^공혈자","순위척도","","","","","",""
"10631-0","테스토스테론","물질농도","검사시점","정액","정량","","","","","",""
"10633-6","아연","물질농도","검사시점","정액","정량","","","","","",""
"10649-2","칼리시바이러스","존재","검사시점","대변","명칭결과","전자현미경","","","","",""
"106-5","세포라니드","감수성","검사시점","분리주+혈청","순위척도","혈청 살균 역가","","","","",""
"10650-0","칸디다종 디옥시리보핵산","임의농도","검사시점","전혈","순위척도","DNA 탐색자.증폭","","","","",""
"10651-8","클라미도필라 뉴모니아 항원","임의농도","검사시점","객담/기관지","순위척도","","","","","",""
"10671-6","윤충 확인","존재","검사시점","XXX","명칭결과","","","","","",""
"10672-4","윤충+절지동물 확인","존재","검사시점","XXX","명칭결과","","","","","",""
"10673-2","B형 간염 바이러스 핵심 항원","임의농도","검사시점","조직","순위척도","면역염색","","","","",""
"10674-0","B형 간염 바이러스 표면 항원","임의농도","검사시점","조직","순위척도","면역염색","","","","",""
"1069-4","Jk^a 항체","임의농도","검사시점","혈청/혈장","순위척도","","","","","",""
"10694-8","자유아메바종 동정","존재","검사시점","조직","명칭결과","균 특이 배양","","","","",""
"10695-5","자유아메바종 동정","존재","검사시점","조직","명칭결과","젖은 표본","","","","",""
"10696-3","노르워크 바이러스","존재","검사시점","대변","명칭결과","전자현미경","","","","",""
"10697-1","니스타틴","감수성","검사시점","분리주","정량 or 순위척도","억제최소농도","","","","",""
"10698-9","니스타틴","감수성","검사시점","분리주","정량","억제치사농도","","","","",""
"10699-7","운코세르카종 동정","존재","검사시점","조직","명칭결과","젖은 표본","","","","",""
"10700-3","올소폭스바이러스","존재","검사시점","피부","명칭결과","전자현미경","","","","",""
"10717-7","폐렴 사슬알균 항체","임의농도","검사시점","혈청","정량","라텍스 응집","","","","",""
"10718-5","Strongyloides sp Antibody","임의농도","검사시점","혈청","정량","효소면역측정법","","","","",""
"10719-3","성인 갈고리조충 항체","임의농도","검사시점","혈청","정량","면역 탁본법","","","","",""
"10720-1","테르비나핀","감수성","검사시점","분리주","정량 or 순위척도","억제최소농도","","","","",""
"1073-6","Jk^b 항체","임의농도","검사시점","혈청/혈장^혈액제제단위","순위척도","","","","","",""
"10736-7","바이러스 동정","존재","검사시점","뇌척수액","명칭결과","전자현미경","","","","",""
"10737-5","바이러스 동정","존재","검사시점","대변","명칭결과","전자현미경","","","","",""
"10738-3","바이러스 동정","존재","검사시점","조직","명칭결과","전자현미경","","","","",""
"10739-1","바이러스 동정","존재","검사시점","XXX","명칭결과","전자현미경","","","","",""
"10740-9","알루미늄 현미경적 관찰","존재","검사시점","뼈","명칭결과","조직형태학 계축","","","","",""
"10754-0","지방.현미경적 관찰","존재","검사시점","조직","명칭결과","수단 IV 염색","","","","",""
"10755-7","곰팡이.현미경적 관찰","존재","검사시점","조직","명칭결과","코호트 메타나민 은 염색","","","","",""
"10756-5","아교 섬유.현미경적 관찰","존재","검사시점","조직","명칭결과","홀저 염색","","","","",""
"10757-3","혈액+핵 요소.현미경적 관찰","존재","검사시점","조직","명칭결과","May-Grunwald 김자 염색","","","","",""
"10758-1","철.현미경적 관찰","존재","검사시점","뼈","명칭결과","조직형태학 계축","","","","",""
"10759-9","철.현미경적 관찰","존재","검사시점","객담","명칭결과","고모리 염색","","","","",""
