"LOINC_NUM","COMPONENT","PROPERTY","TIME_ASPCT","SYSTEM","SCALE_TYP","METHOD_TYP","CLASS","SHORTNAME","LONG_COMMON_NAME","RELATEDNAMES2","LinguisticVariantDisplayName"
"13294-4","wirus zapalenia wątroby typu E przeciwciało","obecność lub wartość progowa","Punkt w czasie","Surowica","Porządkowy","","MICRO","","","HEV Obecnosc lub prog p/ciała",""
"13441-1","Kreatynina Klirens nerkowy","Wskaźnik objętości","4H","mocz i surowica/osocze","ilościowy","","Testy nieobciążeniowe chemiczne","","","4 godziny osocze",""
"13448-6","Wapń/Osmolalnosc surowicy","Współczynnik","Punkt w czasie","Surowica lub osocze","ilościowy","","Testy nieobciążeniowe chemiczne","","","osocze Stosunek;Proporcja",""
"13449-4","Kreatynina Klirens nerkowy/1,73 m kw.","Wskaźnik Objętość/Powierzchnia","8H","mocz i surowica/osocze","ilościowy","","Testy nieobciążeniowe chemiczne","","","1.73 metry kwadratowe 8 godzin osocze",""
"14417-0","Wapń","Stężenie substancji","Punkt w czasie","Płyn otrzewnowy","ilościowy","","Testy nieobciążeniowe chemiczne","","","",""
"14421-2","bilirubina","Stężenie masowe","Punkt w czasie","Płyn z jamy opłucnej","ilościowy","","Testy nieobciążeniowe chemiczne","","","Bilirubina",""
"14434-5","Albumina/Globulina","Współczynnik masy","Punkt w czasie","Płyn z jamy opłucnej","ilościowy","","Testy nieobciążeniowe chemiczne","","","",""
"14436-0","Albumina/Globulina","Współczynnik masy","Punkt w czasie","Nasienie","ilościowy","","Testy nieobciążeniowe chemiczne","","","Sperma",""
"14438-6","cholesterol","Stężenie masowe","Punkt w czasie","Płyn owodniowy","ilościowy","","Testy nieobciążeniowe chemiczne","","","",""
"1751-7","Albumina","Stężenie masowe","Punkt w czasie","Surowica lub osocze","ilościowy","","Testy nieobciążeniowe chemiczne","","","osocze",""
"17522-4","siateczka IgA","Miano","Punkt w czasie","Surowica","ilościowy","immunofluorecjencja","Serologia nie mikrobiologiczna","","","Immunoglobulina A p/ciała",""
"1752-5","Albumina","Stężenie masowe","Punkt w czasie","Płyn maziowy","ilościowy","","Testy nieobciążeniowe chemiczne","","","",""
"1753-3","Albumina","obecność lub wartość progowa","Punkt w czasie","Mocz","Porządkowy","","Testy nieobciążeniowe chemiczne","","","Obecnosc lub prog",""
"18281-6","Wapń^^skorygowany wg białka całkowitego","Stężenie substancji","Punkt w czasie","Surowica lub osocze","ilościowy","","Testy nieobciążeniowe chemiczne","","","białko osocze",""
"18290-7","Erytrocyty","Morfologia","Punkt w czasie","Płyn maziowy","Nominalny","Mikroskopia świetlna","Morfologia krwi","","","Krwinki czerwone",""
"18352-5","objętość próbki","Objętość","4H","Mocz","ilościowy","","Informacja o próbce","","","4 godziny",""
"2074-3","chlorek","Stężenie substancji","Punkt w czasie","Ślina","ilościowy","","Testy nieobciążeniowe chemiczne","","","Jon chlorkowy;Cl--",""
"2076-8","chlorek","Zawartość substancji","Punkt w czasie","Kał","ilościowy","","Testy nieobciążeniowe chemiczne","","","Jon chlorkowy;Cl-- stolec",""
"2084-2","Estry cholesterolu","Stężenie masowe","Punkt w czasie","Surowica lub osocze","ilościowy","","Testy nieobciążeniowe chemiczne","","","osocze",""
