"LOINC_NUM","COMPONENT","PROPERTY","TIME_ASPCT","SYSTEM","SCALE_TYP","METHOD_TYP","CLASS","SHORTNAME","LONG_COMMON_NAME","RELATEDNAMES2","LinguisticVariantDisplayName"
"29953-7","Нуклеарні, Антитіла","Титр","МоментЧасу","Сироватка","Кількісно","","Серологія","АНА Титр Сир","Нуклеарні Антитіла [Титр] в сироватці","","Нуклеарні Ат (Сир) [Титр]"
"30446-9","Мієлоцити","Чисельна Концентрація","МоментЧасу","Кров","Кількісно","","Гематологія/Підрахунок клітин","Мієлоцити # Крв","Мієлоцити [кількість/об'єм] в Крові","","Мієлоцити (Крв) [#/об'єм]"
"43583-4","Ліпопротеїн а","Молярна Концентрація","МоментЧасу","Сироватка/Плазма","Кількісно","","Хімія","ЛПа СирПл-МолКонц","Ліпопротеїн а [Молі/об'єм] в сироватці чи плазмі","","Ліпопротеїн а [Молі/об'єм]"
"44447-1","Бета 2 глікопротеїн 1 Aнтитіла.IgA","Довільна Концентрація","МоментЧасу","Сироватка/Плазма","Кількісно","Імуноаналіз","Коагулометрія","Б2 Глікопрот1 IgA СировПл ІА-ДовКонц","Бета 2 глікопротеїн 1 IgA Aнтитіла [Одиниці/об'єм] в Сироватці або Плазмі методом Імуноаналізу","","Бета 2 глікопротеїн 1 IgA ІА Кількісно"
"5803-2","pH","Log Концентрація речовини","МоментЧасу","Сеча","Кількісно","Тест-смужка","Аналіз Сечі","pH Сеч Смуж","pH в Сечі Тест-смужкою","","pH Тест-смужка (Сеча)"
"35678-2","Натрій","Молярна Концентрація","ХХХ","Сеча","Кількісно","","Хімія","Натрій ?Час Сеч-МолКонц","Натрій [Молі/об'єм] в сечі, зібраної за невизначений час","","Натрій невизн час (Сеч) [Молі/об'єм]"
"8061-4","Нуклеарні, Антитіла","Наявність або Поріг","МоментЧасу","Сироватка","Порядково","","Серологія","АНА Сир Якісн","Нуклеарні Антитіла [Наявність] в сироватці","","Нуклеарні Ат Якісн (Сир)"
"8117-4","Клітини.CD19/100 клітин","Чисельна Фракція","МоментЧасу","Кров","Кількісно","","Клітинні Маркери","CD19 Клітини ЧисФракц Крв","CD19 клітини/100 клітин в Крові","","CD19 клітини/100 клітин (Крв)"
"5809-9","Редукуючі речовини","Наявність або Поріг","МоментЧасу","Сеча","Порядково","","Аналіз Сечі","Редук Реч Сеч Якісн","Редукуючі речовини [Наявність] в Cечі","","Редукуючі речовини Якісно (Cеча)"
"11565-9","Jo-1 екстрагований ядерний, Антитіла","Довільна Концентрація","МоментЧасу","Сироватка","Кількісно","","Серологія","ENA Jo1 Ат Сир-ДовКонц","Jo-1 екстрагований ядерний, Антитіла [Одиниці/об'єм] в сироватці","","Jo-1 екстрагований ядерний Ат Кільк (Сиров)"
"12232-5","Вірус Кору Антиген","Наявність або Поріг","МоментЧасу","ХХХ","Порядково","Імунофлуоресценція","Мікробіологія","Кір Аг Зразок Якісн ІФ","Вірус Кору, Антиген [Наявність] в зразку методом Імунофлуоресценції","","Кір антиген ІФ Якісн (Зразок)"
"12235-8","Мікроскопічне дослідження","Наявність або Ідентифікація","МоментЧасу","Осад Сечі","Категорійно","Мікроскопія. світлова","Аналіз Сечі","Мікро СечОсд","Мікроскопічне дослідження [Ідентифікація] в осаді Сечі методом Світлової Мікроскопії","","Мікроскопічне дослідження СМ Категорійно (осад Сечі)"
"10863-9","Ендомізій, Антитіла.IgA","Титр","МоментЧасу","Сироватка","Кількісно","","Серологія","Ендомізій IgA Титр Сиров","Ендомізій, Антитіла IgA [Титр] в сироватці","","Ендомізій IgA (Сиров) [Титр]"
"10900-9","Вірус Гепатиту В, Антитіла до поверхевого антигену","Наявність або Поріг","МоментЧасу","Сироватка","Порядково","Імуноаналіз","Мікробіологія","ВГВ HBsAg Сир Якісн ІА","Вірус Гепатиту В, Антитіла до поверхевого антигену [Наявність] в Сироватці Імуноаналіз","","ВГВ, Ат до поверхн антигену (anti-HBs) ІА Якісно (Сиров)"
"11013-0","ДНК двоспіральна, Антитіла","Титр","МоментЧасу","Сироватка","Кількісно","","Серологія","dsDNA Ат Титр Сиров","ДНК двоспіральна, Антитіла [Титр] в сироватці","","ДНК двоспіральна, Ат (Сиров) [Титр]"
"11276-3","Тубулярні клітини","Наявність або Поріг","МоментЧасу","Осад Сечі","Порядково","Мікроскопія. світлова","Аналіз Сечі","Тубулярні клітини СечОсд Якісн Мікро","Тубулярні клітини [Наявність] в осаді Сечі методом Світлової Мікроскопії","","Тубулярні клітини СМ Якісно (осад Сечі)"
"11545-1","Мікроскопічне дослідження","Наявність або Ідентифікація","МоментЧасу","ХХХ","Категорійно","Забарвлення для виявлення кислотостійких бактерій","Мікробіологія","КСБ Забарв Зразок","Мікроскопічне дослідження [Ідентифікація] Зразку методом Забарвлення для виявлення кислотостійких бактерій","","Мікроскопічне дослідження Забарвлення для виявлення КСБ Категорійно (Зразок)"
"11572-5","Ревматоїдний фактор","Довільна Концентрація","МоментЧасу","Сироватка/Плазма","Кількісно","","Серологія","РФ СирПл-ДовКонц","Ревматоїдний фактор [Одиниці/об'єм] в сироватці чи плазмі","","Ревматоїдний фактор Кільк"
"11580-8","Тиротропін","Довільна Концентрація","МоментЧасу","Сироватка/Плазма","Кількісно","Межа визначення <=0,005 мМО/л","Хімія","ТТГ СирПл Межа визначення <=0,005 мМО/л-ДовКонц","Тиротропін [Одиниці/об'єм] в сироватці чи плазмі межа визначення <=0,005 мМО/л","","ТТГ Межа визначення <=0,005 мМО/л Кільк"
"12248-1","Епітелій. нирковий","Наявність або Поріг","МоментЧасу","Осад Сечі","Порядково","Мікроскопія. світлова","Аналіз Сечі","Нирковий СечОсд Якісн Мікро","Епітелій. нирковий [Наявність] в осаді Сечі методом Світлової Мікроскопії","","Епітелій. нирковий СМ Якісно (осад Сечі)"
"12859-5","ВІЛ 1 р18 Антитіла","Наявність або Поріг","МоментЧасу","Сироватка","Порядково","Імуноблот","Мікробіологія","ВІЛ 1 р18 АнтитілаСиров Якісн ІБ","ВІЛ 1 р18 Антитіла [Наявність] в Сироватці методом Імуноблоту","","ВІЛ 1 р18 Антитіла ІБ Якісно (Сиров)"
"13047-6","Плазматичні клітини/100 лейкоцитів","Чисельна Фракція","МоментЧасу","Кров","Кількісно","","Гематологія/Підрахунок клітин","Плазматичні клітини/лейк ЧисФракц Крв","Плазматичні клітини/100 лейкоцитів в Крові","","Плазматичні клітини/100 лейк (Крв)"
