"LOINC_NUM","LOINC_LONG_COMMON_NAME","IEEE_CF_CODE10","IEEE_REFID","EQUIVALENCE"
"11556-8","Oxygen [Partial pressure] in Blood","160116","MDC_CONC_PO2_GEN","equivalent"
"11557-6","Carbon dioxide [Partial pressure] in Blood","160064","MDC_CONC_PCO2_GEN","equivalent"
"11558-4","pH of Blood","160004","MDC_CONC_PH_GEN","equivalent"
"12961-9","Urea nitrogen [Mass/volume] in Arterial blood","160080","MDC_CONC_UREA_ART","equivalent"
"14749-6","Glucose [Moles/volume] in Serum or Plasma","160196","MDC_CONC_GLU_VENOUS_PLASMA","broader"
"14749-6","Glucose [Moles/volume] in Serum or Plasma","160368","MDC_CONC_GLU_UNDETERMINED_PLASMA","broader"
"15074-8","Glucose [Moles/volume] in Blood","160020","MDC_CONC_GLU_GEN","broader"
"15074-8","Glucose [Moles/volume] in Blood","160364","MDC_CONC_GLU_UNDETERMINED_WHOLEBLOOD","broader"
"15076-3","Glucose [Moles/volume] in Urine","159860","MDC_CONC_GLU_URINE","broader"
"17861-6","Calcium [Mass/volume] in Serum or Plasma","160024","MDC_CONC_CA_GEN","broader"
"19153-6","Volume in Urine collected for unspecified duration","157744","MDC_VOL_URINE_COL","equivalent"
"1925-7","Base excess in Arterial blood by calculation","160252","MDC_BASE_EXCESS_BLD_ART","equivalent"
"1959-6","Bicarbonate [Moles/volume] in Blood","160008","MDC_CONC_HCO3_GEN","equivalent"
"1960-4","Bicarbonate [Moles/volume] in Arterial blood","159760","MDC_CONC_HCO3_ART","equivalent"
"19834-1","Breath rate setting Ventilator","16928802","MDC_VENT_RESP_RATE_SETTING","equivalent"
"19867-1","Vital capacity [Volume] Respiratory system","151680","MDC_CAPAC_VITAL","equivalent"
"19924-0","Expiratory reserve","189004","MDC_VOL_AWAY_EXP_RESERVE","equivalent"
"19925-7","FEV1/FVC Predicted","33743380","MDC_RATIO_AWAY_EXP_FORCED_1S_FVC_PRED","equivalent"
"19926-5","FEV1/FVC","188948","MDC_RATIO_AWAY_EXP_FORCED_1S_FVC","equivalent"
"19930-7","Gas flow Respiratory system airway","151764","MDC_FLOW_AWAY","equivalent"
"19974-5","Inspiration/Expiration setting Ventilator","16929048","MDC_RATIO_IE_SETTING","equivalent"
"19991-9","Alveolar-arterial oxygen Partial pressure difference","150336","MDC_SAT_DIFF_O2_ART_ALV","equivalent"
"2000-8","Calcium [Moles/volume] in Serum or Plasma","160024","MDC_CONC_CA_GEN","broader"
"20053-5","Atmospheric pressure","152832","MDC_PRESS_BAROMETRIC","equivalent"
"20077-4","Positive end expiratory pressure setting Ventilator","16929020","MDC_PRESS_AWAY_END_EXP_POS_SETTING","equivalent"
"20077-4","Positive end expiratory pressure setting Ventilator","16929192","MDC_VENT_PRESS_AWAY_END_EXP_POS_SETTING","equivalent"
"20112-9","Tidal volume setting Ventilator","16929196","MDC_VENT_VOL_TIDAL_SETTING","equivalent"
"20124-4","Ventilation mode Ventilator","184352","MDC_VENT_MODE","equivalent"
"20150-9","FEV1","152586","MDC_VOL_AWAY_EXP_FORCED_1S","equivalent"
"2019-8","Carbon dioxide [Partial pressure] in Arterial blood","159752","MDC_CONC_PCO2_ART","equivalent"
"2021-4","Carbon dioxide [Partial pressure] in Venous blood","159800","MDC_CONC_PCO2_VEN","equivalent"
"20562-5","Left ventricular Stroke volume","150404","MDC_VOL_BLD_STROKE","equivalent"
"20570-8","Hematocrit [Volume Fraction] of Blood","160132","MDC_CONC_HCT_GEN","equivalent"
"2075-0","Chloride [Moles/volume] in Serum or Plasma","160104","MDC_CONC_CHLOR_GEN","equivalent"
"2339-0","Glucose [Mass/volume] in Blood","160020","MDC_CONC_GLU_GEN","broader"
